ts,event,reason,steps,d_buy,price,qty,order_quote,drop_pct,take_profit_pct,target,trade_idx,q,amt_q,ladder_idx,anchor,prev_anchor,bar_index,preserve_progress,proceeds,pnl,note
2025-11-28 16:58:00+00:00,LADDER_REBUILT,ADAPTIVE_UPDATE,3.0,0.02,,,,,,,,,,,,,,,,,
2025-11-28 17:48:00+00:00,SCALP_BUY,,,,458.2680085337412,0.21603079018488996,99.0,0.024712674440833502,0.0082375581469445,462.04301790092234,1.0,,,,,,,,,,
2025-11-28 17:55:00+00:00,SCALP_BUY,,,,457.92217829095773,0.2161939401351657,99.0,0.025448671382144895,0.008482890460714966,461.80668196893197,2.0,,,,,,,,,,
2025-11-28 17:56:00+00:00,SCALP_BUY,,,,457.92217829095773,0.2161939401351657,99.0,0.025448671382144895,0.008482890460714966,461.80668196893197,3.0,,,,,,,,,,
2025-11-28 18:03:00+00:00,BUY,,,,456.288,,,,,,,0.1384167340294772,63.1578947368421,1.0,,,,,,,
2025-11-28 19:30:00+00:00,LADDER_REBUILT,ANCHOR_SHIFT,3.0,0.02,,,,,,,,,,,,,,,,,
2025-11-28 19:30:00+00:00,ANCHOR_SHIFTED,,,,,,,,,,,,,,459.895,465.6,212.0,True,,,
2025-11-28 20:21:00+00:00,SCALP_TP,,,,462.04301790092234,0.21603079018488996,,,,,,,,,,,,,99.71570273829096,0.616702738290968,
2025-11-28 20:21:00+00:00,SCALP_TP,,,,461.80668196893197,0.2161939401351657,,,,,,,,,,,,,99.73996634945517,0.6409663494551836,
2025-11-28 20:21:00+00:00,SCALP_TP,,,,461.80668196893197,0.2161939401351657,,,,,,,,,,,,,99.73996634945517,0.6409663494551836,
2025-11-28 20:34:00+00:00,LADDER_REBUILT,ANCHOR_SHIFT,3.0,0.02,,,,,,,,,,,,,,,,,
2025-11-28 20:34:00+00:00,ANCHOR_SHIFTED,,,,,,,,,,,,,,462.33000000000004,459.895,276.0,True,,,
2025-11-28 20:48:00+00:00,SELL,,,,459.0302954474471,0.13841673402947727,,,,,,,,,,,,,63.47393684210523,0.25288421052631804,TOTAL_CAP
